title,authors,average_rating,isbn,# num_pages
The Changeling,Zilpha Keatley Snyder,4.17,595321801,228
The Vampire Companion,Katherine Ramsland-Anne Rice,3.93,345397398,608
Dear God  Help!!! Love  Earl,Barbara Park-Kenneth Lafreniere,3.95,679853952,144
Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.55,074754624X,636
Gunslinger and Nine Other Action-Packed Stories of the Wild West,Ed Gorman-Bill Pronzini,4.25,1569800367,131
On Duties,Marcus Tullius Cicero-Miriam T. Griffin-E.M. Atkins,3.95,521348358,241
Political Philosophy: A Beginners' Guide for Students and Politicians,Adam Swift,3.93,745635326,240
From Babylon to Timbuktu: A History of the Ancient Black Races Including the Black Hebrews,Rudolph R. Windsor-El Hagahn,4.31,962088110,151
The Turtle and the Monkey,Paul Galdone-Joanna Galdone,3.76,395544254,32
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,352
Chester,Syd Hoff,3.75,64440958,64
How the Mind Works,Steven Pinker,3.97,140244913,660
1984,George Orwell-Walter Cronkite-Erich Fromm,4.17,451519841,268
Gideon's Trumpet: How One Man  a Poor Prisoner  Took His Case to the Supreme Court-And Changed the Law of the United States,Anthony  Lewis,3.90,679723129,288
eBay for Dummies,Marsha Collier,3.50,470045299,386
Paths to God: Living the Bhagavad Gita,Ram Dass-Richard Alpert,4.33,1400054036,352
Rameau's Nephew / D'Alembert's Dream,Denis Diderot-Leonard Tancock,3.67,140441735,237
Harry Potter and the Philosopher's Stone (Harry Potter  #1),J.K. Rowling,4.47,158234681X,250
Rabbit at Rest (Rabbit Angstrom #4),John Updike,3.97,449911942,608
Journey of the Sparrows,Fran Leeper Buss-Daisy Cubias,3.67,142302090,160
The Ties That Bind: Life's Most Essential Knots and Ties,Susan Oliver-Harry   Bates,3.67,1584793821,80
The Hidden Persuaders,Vance Packard,3.89,671771620,242
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler-Tom Hiney,4.45,375415025,1016
Animal Farm,George Orwell,3.91,452284244,122
